Date,GREENPOWER
2017-11-07,9.9
2017-11-08,10.2
2017-11-09,10.2
2017-11-10,9.4
2017-11-13,8.8
2017-11-14,9.65
2017-11-15,9.0
2017-11-16,8.85
2017-11-17,8.85
2017-11-20,9.35
2017-11-21,9.15
2017-11-22,9.05
2017-11-23,9.1
2017-11-24,9.0
2017-11-27,9.0
2017-11-28,9.05
2017-11-29,9.25
2017-11-30,9.05
2017-12-01,9.1
2017-12-04,8.95
2017-12-05,8.95
2017-12-06,8.8
2017-12-07,8.95
2017-12-08,9.35
2017-12-11,9.85
2017-12-12,9.65
2017-12-13,9.1
2017-12-14,9.0
2017-12-15,8.95
2017-12-18,8.9
2017-12-19,9.0
2017-12-20,8.95
2017-12-21,9.2
2017-12-22,9.45
2017-12-26,11.05
2017-12-27,11.15
2017-12-28,11.1
2017-12-29,11.05
