Date,SURYAROSNI
2017-08-04,284.95
2017-08-07,282.05
2017-08-08,272.35
2017-08-09,271.3
2017-08-10,253.25
2017-08-11,250.5
2017-08-14,254.65
2017-08-16,255.7
2017-08-17,278.85
2017-08-18,276.75
2017-08-21,275.65
2017-08-22,270.9
2017-08-23,275.8
2017-08-24,274.4
2017-08-28,281.25
2017-08-29,281.85
2017-08-30,286.45
2017-08-31,284.45
2017-09-01,290.8
2017-09-04,314.4
2017-09-05,309.9
2017-09-06,307.15
2017-09-07,306.6
2017-09-08,301.45
2017-09-11,305.2
2017-09-12,310.5
2017-09-13,303.15
2017-09-14,305.05
2017-09-15,306.55
2017-09-18,309.1
2017-09-19,318.1
2017-09-20,319.0
2017-09-21,319.35
2017-09-22,303.15
2017-09-25,294.95
2017-09-26,306.25
2017-09-27,290.7
2017-09-28,293.2
2017-09-29,294.5
2017-10-03,295.45
2017-10-04,297.3
2017-10-05,302.9
2017-10-06,314.55
2017-10-09,313.8
2017-10-10,309.8
2017-10-11,302.9
2017-10-12,305.0
2017-10-13,308.35
2017-10-16,307.1
2017-10-17,308.65
2017-10-18,323.35
2017-10-19,322.75
2017-10-23,316.55
2017-10-24,326.35
2017-10-25,327.85
2017-10-26,337.15
2017-10-27,377.45
2017-10-30,377.5
2017-10-31,369.95
2017-11-01,372.1
2017-11-02,369.2
2017-11-03,371.65
2017-11-06,378.55
2017-11-07,364.5
2017-11-08,364.1
2017-11-09,365.7
2017-11-10,369.95
2017-11-13,360.3
2017-11-14,353.35
2017-11-15,343.35
2017-11-16,367.55
2017-11-17,379.55
2017-11-20,376.25
2017-11-21,370.4
2017-11-22,372.05
2017-11-23,393.4
2017-11-24,387.95
2017-11-27,395.85
2017-11-28,390.2
2017-11-29,380.5
2017-11-30,382.6
2017-12-01,375.15
2017-12-04,369.65
2017-12-05,361.0
2017-12-06,363.3
2017-12-07,370.45
2017-12-08,376.5
2017-12-11,379.2
2017-12-12,379.95
2017-12-13,370.65
2017-12-14,368.85
2017-12-15,368.35
2017-12-18,380.0
2017-12-19,384.6
2017-12-20,387.5
2017-12-21,385.65
2017-12-22,385.9
2017-12-26,384.25
2017-12-27,387.1
2017-12-28,394.95
2017-12-29,393.8
