Date,GEOJITFSL
2017-08-18,103.6
2017-08-21,102.1
2017-08-22,101.25
2017-08-23,100.95
2017-08-24,101.45
2017-08-28,102.2
2017-08-29,99.05
2017-08-30,103.0
2017-08-31,111.5
2017-09-01,117.4
2017-09-04,115.5
2017-09-05,116.2
2017-09-06,115.2
2017-09-07,117.0
2017-09-08,114.35
2017-09-11,112.45
2017-09-12,112.5
2017-09-13,115.0
2017-09-14,114.55
2017-09-15,113.6
2017-09-18,116.5
2017-09-19,124.3
2017-09-20,127.2
2017-09-21,128.75
2017-09-22,120.65
2017-09-25,115.7
2017-09-26,115.95
2017-09-27,117.95
2017-09-28,121.25
2017-09-29,123.2
2017-10-03,125.05
2017-10-04,133.6
2017-10-05,137.8
2017-10-06,142.7
2017-10-09,137.4
2017-10-10,142.95
2017-10-11,138.55
2017-10-12,142.05
2017-10-13,136.05
2017-10-16,133.8
2017-10-17,133.85
2017-10-18,134.75
2017-10-19,135.2
2017-10-23,135.65
2017-10-24,136.2
2017-10-25,128.15
2017-10-26,133.25
2017-10-27,129.95
2017-10-30,129.3
2017-10-31,128.65
2017-11-01,128.2
2017-11-02,126.35
2017-11-03,124.85
2017-11-06,124.15
2017-11-07,120.45
2017-11-08,115.9
2017-11-09,114.8
2017-11-10,120.15
2017-11-13,118.65
2017-11-14,121.05
2017-11-15,118.2
2017-11-16,122.3
2017-11-17,119.0
2017-11-20,119.75
2017-11-21,121.65
2017-11-22,118.75
2017-11-23,122.85
2017-11-24,122.25
2017-11-27,124.75
2017-11-28,121.55
2017-11-29,119.0
2017-11-30,118.05
2017-12-01,117.55
2017-12-04,118.05
2017-12-05,118.2
2017-12-06,118.0
2017-12-07,118.65
2017-12-08,120.4
2017-12-11,118.4
2017-12-12,115.95
2017-12-13,115.45
2017-12-14,113.65
2017-12-15,115.8
2017-12-18,119.25
2017-12-19,123.6
2017-12-20,123.95
2017-12-21,124.1
2017-12-22,122.7
2017-12-26,122.75
2017-12-27,124.1
2017-12-28,120.65
2017-12-29,121.65
