Date,BAJFINANCE
2017-02-16,1094.35
2017-02-17,1089.5
2017-02-20,1095.9
2017-02-21,1095.9
2017-02-22,1076.25
2017-02-23,1068.2
2017-02-27,1091.6
2017-02-28,1108.2
2017-03-01,1075.85
2017-03-02,1048.75
2017-03-03,1046.25
2017-03-06,1033.95
2017-03-07,1052.4
2017-03-08,1081.2
2017-03-09,1087.2
2017-03-10,1094.5
2017-03-14,1126.7
2017-03-15,1134.55
2017-03-16,1163.5
2017-03-17,1159.3
2017-03-20,1172.55
2017-03-21,1174.55
2017-03-22,1159.7
2017-03-23,1185.75
2017-03-24,1177.05
2017-03-27,1185.0
2017-03-28,1194.75
2017-03-29,1180.75
2017-03-30,1181.05
2017-03-31,1171.1
2017-04-03,1181.75
2017-04-05,1173.1
2017-04-06,1198.1
2017-04-07,1201.6
2017-04-10,1240.75
2017-04-11,1255.95
2017-04-12,1266.2
2017-04-13,1273.9
2017-04-17,1259.55
2017-04-18,1236.05
2017-04-19,1242.95
2017-04-20,1252.0
2017-04-21,1246.95
2017-04-24,1271.75
2017-04-25,1341.7
2017-04-26,1309.7
2017-04-27,1285.7
2017-04-28,1276.2
2017-05-02,1268.6
2017-05-03,1270.1
2017-05-04,1296.55
2017-05-05,1274.25
2017-05-08,1272.0
2017-05-09,1286.1
2017-05-10,1327.0
2017-05-11,1339.7
2017-05-12,1314.75
2017-05-15,1332.95
2017-05-16,1347.75
2017-05-17,1324.8
2017-05-18,1314.55
2017-05-19,1289.15
2017-05-22,1242.15
2017-05-23,1233.75
2017-05-24,1224.35
2017-05-25,1258.85
2017-05-26,1317.8
2017-05-29,1307.45
2017-05-30,1321.55
2017-05-31,1326.95
2017-06-01,1327.35
2017-06-02,1361.25
2017-06-05,1363.1
2017-06-06,1336.65
2017-06-07,1343.15
2017-06-08,1361.7
2017-06-09,1376.85
2017-06-12,1364.95
2017-06-13,1371.5
2017-06-14,1361.0
2017-06-15,1405.25
2017-06-16,1410.3
2017-06-19,1399.85
2017-06-20,1409.6
2017-06-21,1416.65
2017-06-22,1401.8
